39.0000,53.0000,0
38.0000,54.0000,0
38.0000,55.0000,0
37.0000,56.0000,0
36.0000,56.0000,0
33.0000,59.0000,0
33.0000,60.0000,0
31.0000,62.0000,0
31.0000,64.0000,0
30.0000,65.0000,0
29.0000,65.0000,0
28.0000,66.0000,0
28.0000,67.0000,0
25.0000,70.0000,0
25.0000,71.0000,0
22.0000,74.0000,0
22.0000,75.0000,0
21.0000,76.0000,0
21.0000,77.0000,0
18.0000,80.0000,0
18.0000,81.0000,0
17.0000,82.0000,0
17.0000,83.0000,0
15.0000,85.0000,0
14.0000,85.0000,0
14.0000,88.0000,0
12.0000,90.0000,0
12.0000,91.0000,0
11.0000,92.0000,0
11.0000,93.0000,0
8.0000,96.0000,0
8.0000,97.0000,0
9.0000,98.0000,0
10.0000,98.0000,0
12.0000,96.0000,0
13.0000,96.0000,0
15.0000,94.0000,0
15.0000,93.0000,0
16.0000,92.0000,0
16.0000,91.0000,0
20.0000,87.0000,0
20.0000,85.0000,0
21.0000,84.0000,0
21.0000,83.0000,0
24.0000,80.0000,0
24.0000,79.0000,0
26.0000,77.0000,0
26.0000,76.0000,0
27.0000,75.0000,0
27.0000,74.0000,0
30.0000,71.0000,0
30.0000,70.0000,0
34.0000,66.0000,0
34.0000,65.0000,0
37.0000,62.0000,0
37.0000,61.0000,0
41.0000,57.0000,0
41.0000,56.0000,0
42.0000,55.0000,0
42.0000,54.0000,0
41.0000,53.0000,0
73.0000,39.0000,1
72.0000,40.0000,1
67.0000,40.0000,1
64.0000,43.0000,1
63.0000,43.0000,1
63.0000,44.0000,1
56.0000,51.0000,1
55.0000,51.0000,1
54.0000,52.0000,1
54.0000,54.0000,1
53.0000,55.0000,1
52.0000,55.0000,1
50.0000,57.0000,1
50.0000,58.0000,1
46.0000,62.0000,1
46.0000,63.0000,1
43.0000,66.0000,1
43.0000,67.0000,1
38.0000,72.0000,1
38.0000,73.0000,1
33.0000,78.0000,1
33.0000,79.0000,1
32.0000,80.0000,1
32.0000,81.0000,1
29.0000,84.0000,1
29.0000,86.0000,1
25.0000,90.0000,1
25.0000,92.0000,1
24.0000,93.0000,1
24.0000,94.0000,1
19.0000,99.0000,1
24.0000,99.0000,1
24.0000,98.0000,1
25.0000,97.0000,1
26.0000,97.0000,1
28.0000,95.0000,1
29.0000,95.0000,1
29.0000,92.0000,1
30.0000,91.0000,1
30.0000,89.0000,1
31.0000,88.0000,1
31.0000,87.0000,1
32.0000,86.0000,1
32.0000,85.0000,1
37.0000,80.0000,1
37.0000,79.0000,1
40.0000,76.0000,1
42.0000,76.0000,1
42.0000,74.0000,1
41.0000,73.0000,1
44.0000,70.0000,1
45.0000,70.0000,1
46.0000,69.0000,1
46.0000,68.0000,1
47.0000,67.0000,1
47.0000,66.0000,1
51.0000,62.0000,1
52.0000,62.0000,1
53.0000,61.0000,1
53.0000,59.0000,1
57.0000,55.0000,1
57.0000,54.0000,1
59.0000,52.0000,1
59.0000,51.0000,1
60.0000,50.0000,1
61.0000,50.0000,1
62.0000,49.0000,1
63.0000,49.0000,1
64.0000,48.0000,1
64.0000,46.0000,1
65.0000,45.0000,1
66.0000,45.0000,1
68.0000,43.0000,1
76.0000,43.0000,1
79.0000,46.0000,1
79.0000,47.0000,1
80.0000,48.0000,1
80.0000,54.0000,1
81.0000,55.0000,1
81.0000,60.0000,1
82.0000,61.0000,1
82.0000,63.0000,1
83.0000,64.0000,1
83.0000,67.0000,1
85.0000,69.0000,1
85.0000,70.0000,1
86.0000,71.0000,1
85.0000,72.0000,1
