0.0000,40.0000,0
1.0000,41.0000,0
1.0000,44.0000,0
2.0000,45.0000,0
2.0000,48.0000,0
4.0000,50.0000,0
4.0000,51.0000,0
7.0000,54.0000,0
8.0000,54.0000,0
12.0000,58.0000,0
13.0000,58.0000,0
18.0000,63.0000,0
20.0000,63.0000,0
26.0000,69.0000,0
27.0000,69.0000,0
28.0000,70.0000,0
29.0000,70.0000,0
32.0000,73.0000,0
33.0000,73.0000,0
35.0000,75.0000,0
37.0000,75.0000,0
39.0000,77.0000,0
39.0000,78.0000,0
40.0000,79.0000,0
42.0000,79.0000,0
43.0000,80.0000,0
45.0000,80.0000,0
46.0000,81.0000,0
46.0000,83.0000,0
48.0000,83.0000,0
50.0000,85.0000,0
51.0000,85.0000,0
52.0000,86.0000,0
53.0000,86.0000,0
54.0000,87.0000,0
55.0000,87.0000,0
58.0000,90.0000,0
61.0000,90.0000,0
64.0000,93.0000,0
67.0000,93.0000,0
70.0000,96.0000,0
72.0000,96.0000,0
73.0000,97.0000,0
77.0000,97.0000,0
78.0000,98.0000,0
79.0000,98.0000,0
80.0000,99.0000,0
97.0000,99.0000,0
96.0000,98.0000,0
91.0000,98.0000,0
90.0000,97.0000,0
90.0000,96.0000,0
91.0000,95.0000,0
92.0000,95.0000,0
93.0000,94.0000,0
94.0000,94.0000,0
89.0000,94.0000,0
87.0000,96.0000,0
83.0000,96.0000,0
81.0000,94.0000,0
80.0000,94.0000,0
78.0000,92.0000,0
74.0000,92.0000,0
73.0000,91.0000,0
73.0000,90.0000,0
72.0000,89.0000,0
67.0000,89.0000,0
66.0000,90.0000,0
64.0000,90.0000,0
63.0000,89.0000,0
65.0000,87.0000,0
66.0000,87.0000,0
66.0000,86.0000,0
64.0000,86.0000,0
63.0000,85.0000,0
62.0000,85.0000,0
61.0000,84.0000,0
59.0000,84.0000,0
58.0000,83.0000,0
57.0000,83.0000,0
56.0000,82.0000,0
56.0000,81.0000,0
58.0000,79.0000,0
59.0000,79.0000,0
52.0000,79.0000,0
49.0000,76.0000,0
48.0000,76.0000,0
45.0000,73.0000,0
42.0000,73.0000,0
39.0000,70.0000,0
37.0000,70.0000,0
36.0000,69.0000,0
35.0000,69.0000,0
34.0000,68.0000,0
33.0000,68.0000,0
30.0000,65.0000,0
29.0000,65.0000,0
24.0000,60.0000,0
23.0000,60.0000,0
22.0000,59.0000,0
21.0000,59.0000,0
16.0000,54.0000,0
15.0000,54.0000,0
13.0000,52.0000,0
12.0000,52.0000,0
11.0000,51.0000,0
11.0000,50.0000,0
10.0000,49.0000,0
10.0000,48.0000,0
9.0000,48.0000,0
8.0000,47.0000,0
7.0000,47.0000,0
0.0000,13.0000,1
0.0000,14.0000,1
1.0000,15.0000,1
1.0000,16.0000,1
2.0000,17.0000,1
2.0000,22.0000,1
7.0000,27.0000,1
8.0000,27.0000,1
9.0000,28.0000,1
9.0000,29.0000,1
14.0000,34.0000,1
15.0000,34.0000,1
25.0000,44.0000,1
26.0000,44.0000,1
27.0000,45.0000,1
28.0000,45.0000,1
32.0000,49.0000,1
32.0000,50.0000,1
33.0000,50.0000,1
35.0000,52.0000,1
36.0000,52.0000,1
37.0000,53.0000,1
38.0000,53.0000,1
39.0000,54.0000,1
40.0000,54.0000,1
41.0000,55.0000,1
41.0000,56.0000,1
42.0000,57.0000,1
43.0000,57.0000,1
45.0000,59.0000,1
45.0000,60.0000,1
46.0000,61.0000,1
48.0000,61.0000,1
50.0000,63.0000,1
52.0000,63.0000,1
53.0000,64.0000,1
54.0000,64.0000,1
55.0000,65.0000,1
56.0000,65.0000,1
59.0000,68.0000,1
59.0000,69.0000,1
61.0000,69.0000,1
62.0000,70.0000,1
64.0000,70.0000,1
65.0000,71.0000,1
67.0000,71.0000,1
